# Port:              P074
# Site:              St. Helier(Jersey)
# Latitude:          49.18333
# Longitude:         -2.11667
# Start Date:        01FEB2020-00.00.00
# End Date:          29FEB2020-23.45.00
# Contributor:       National Oceanography Centre, Liverpool
# Datum information: The data refer to Admiralty Chart Datum (ACD)
# Parameter code:    ASLVBG02 = Surface elevation (unspecified datum) of the water body by bubbler tide gauge (second sensor)
# Cycle    Date      Time    ASLVBG02   Residual  


Number  yyyy mm dd hh mi ssf        f          f 
  1396  2020/02/15 12:45:00     8.533      0.486  
  1397  2020/02/15 13:00:00     8.157      0.514  
  1398  2020/02/15 13:15:00     7.765      0.539  
  1399  2020/02/15 13:30:00     7.336      0.533  
  1400  2020/02/15 13:45:00     6.924      0.546  
  1401  2020/02/15 14:00:00     6.508      0.551  
  1402  2020/02/15 14:15:00     6.120      0.575  
  1403  2020/02/15 14:30:00     5.691      0.545  
  1404  2020/02/15 14:45:00     5.297      0.535  
  1405  2020/02/15 15:00:00     4.935      0.539  
  1406  2020/02/15 15:15:00     4.565      0.513  
  1407  2020/02/15 15:30:00     4.277      0.544  
  1408  2020/02/15 15:45:00     3.995      0.554  
  1409  2020/02/15 16:00:00     3.746      0.564  
  1410  2020/02/15 16:15:00     3.491      0.535  
  1411  2020/02/15 16:30:00     3.281      0.512  
  1412  2020/02/15 16:45:00     3.158      0.535  
  1413  2020/02/15 17:00:00     3.041      0.521  
  1414  2020/02/15 17:15:00     2.992      0.529  
  1415  2020/02/15 17:30:00     3.007      0.550  
  1416  2020/02/15 17:45:00     2.976      0.473  
  1417  2020/02/15 18:00:00     3.063      0.459  
  1418  2020/02/15 18:15:00     3.191      0.429  
  1419  2020/02/15 18:30:00     3.396      0.419  
  1420  2020/02/15 18:45:00     3.681      0.434  
  1421  2020/02/15 19:00:00     3.979      0.409  
  1422  2020/02/15 19:15:00     4.350      0.409  
  1423  2020/02/15 19:30:00     4.753      0.398  
  1424  2020/02/15 19:45:00     5.156      0.350  
  1425  2020/02/15 20:00:00     5.644      0.360  
  1426  2020/02/15 20:15:00     6.094      0.313  
  1427  2020/02/15 20:30:00     6.574      0.289  
  1428  2020/02/15 20:45:00     7.047      0.264  
  1429  2020/02/15 21:00:00     7.528      0.265  
  1430  2020/02/15 21:15:00     7.955      0.243  
  1431  2020/02/15 21:30:00     8.347      0.227  
  1432  2020/02/15 21:45:00     8.693      0.215  
  1433  2020/02/15 22:00:00     8.988      0.207  
  1434  2020/02/15 22:15:00     9.214      0.190  
  1435  2020/02/15 22:30:00     9.443      0.237  
  1436  2020/02/15 22:45:00     9.552      0.226  
  1437  2020/02/15 23:00:00     9.634      0.251  
  1438  2020/02/15 23:15:00     9.582      0.202  
  1439  2020/02/15 23:30:00     9.588      0.271  
  1440  2020/02/15 23:45:00     9.483      0.285  
  1441  2020/02/16 00:00:00     9.339      0.310  
  1442  2020/02/16 00:15:00     9.173      0.358  
  1443  2020/02/16 00:30:00     8.941      0.379  
  1444  2020/02/16 00:45:00     8.686      0.410  
  1445  2020/02/16 01:00:00     8.396      0.433  
  1446  2020/02/16 01:15:00     8.087      0.458  
  1447  2020/02/16 01:30:00     7.745      0.466  
  1448  2020/02/16 01:45:00     7.397      0.478  
  1449  2020/02/16 02:00:00     7.058      0.506  
  1450  2020/02/16 02:15:00     6.701      0.518  
  1451  2020/02/16 02:30:00     6.317      0.500  
  1452  2020/02/16 02:45:00     5.963      0.504  
  1453  2020/02/16 03:00:00     5.637      0.527  
  1454  2020/02/16 03:15:00     5.289      0.514  
  1455  2020/02/16 03:30:00     4.998      0.541  
  1456  2020/02/16 03:45:00     4.686      0.527  
  1457  2020/02/16 04:00:00     4.376      0.492  
  1458  2020/02/16 04:15:00     4.156      0.520  
  1459  2020/02/16 04:30:00     3.956      0.539  
  1460  2020/02/16 04:45:00     3.758      0.526  
  1461  2020/02/16 05:00:00     3.602      0.519  
  1462  2020/02/16 05:15:00     3.482      0.509  
  1463  2020/02/16 05:30:00     3.395      0.492  
  1464  2020/02/16 05:45:00     3.412      0.534  
  1465  2020/02/16 06:00:00     3.437      0.538  
  1466  2020/02/16 06:15:00     3.507      0.538  
  1467  2020/02/16 06:30:00     3.602      0.513  
  1468  2020/02/16 06:45:00     3.764      0.504  
  1469  2020/02/16 07:00:00     3.966      0.484  
  1470  2020/02/16 07:15:00     4.251      0.500  
  1471  2020/02/16 07:30:00     4.545      0.479  
  1472  2020/02/16 07:45:00     4.892      0.471  
  1473  2020/02/16 08:00:00     5.248      0.437  
  1474  2020/02/16 08:15:00     5.643      0.414  
  1475  2020/02/16 08:30:00     6.061      0.393  
  1476  2020/02/16 08:45:00     6.508      0.390  
  1477  2020/02/16 09:00:00     6.941      0.373  
  1478  2020/02/16 09:15:00     7.320      0.313  
  1479  2020/02/16 09:30:00     7.722      0.298  
  1480  2020/02/16 09:45:00     8.090      0.281  
  1481  2020/02/16 10:00:00     8.436      0.284  
  1482  2020/02/16 10:15:00     8.759      0.311  
  1483  2020/02/16 10:30:00     9.046      0.354  
  1484  2020/02/16 10:45:00     9.251      0.370  
  1485  2020/02/16 11:00:00     9.341      0.327  
  1486  2020/02/16 11:15:00     9.489      0.399  
  1487  2020/02/16 11:30:00     9.538      0.428  
  1488  2020/02/16 11:45:00     9.596      0.520  
  1489  2020/02/16 12:00:00     9.553      0.562  
  1490  2020/02/16 12:15:00     9.469      0.611  
  1491  2020/02/16 12:30:00     9.299      0.616  
  1492  2020/02/16 12:45:00     9.138      0.667  
  1493  2020/02/16 13:00:00     8.987      0.759  
  1494  2020/02/16 13:15:00     8.762      0.803  
  1495  2020/02/16 13:30:00     8.523      0.853  
  1496  2020/02/16 13:45:00     8.185      0.819  
  1497  2020/02/16 14:00:00     7.791      0.741  
  1498  2020/02/16 14:15:00     7.471      0.743  
  1499  2020/02/16 14:30:00     7.137      0.735  
  1500  2020/02/16 14:45:00     6.756      0.678  
  1501  2020/02/16 15:00:00     6.415      0.658  
  1502  2020/02/16 15:15:00     6.134      0.689  
  1503  2020/02/16 15:30:00     5.745      0.602  
  1504  2020/02/16 15:45:00     5.375      0.521  
  1505  2020/02/16 16:00:00     5.038      0.457  
  1506  2020/02/16 16:15:00     4.787      0.460  
  1507  2020/02/16 16:30:00     4.584      0.489  
  1508  2020/02/16 16:45:00     4.318      0.432  
  1509  2020/02/16 17:00:00     4.106      0.401  
  1510  2020/02/16 17:15:00     3.924      0.372  
  1511  2020/02/16 17:30:00     3.721      0.290  
  1512  2020/02/16 17:45:00     3.633      0.290  
  1513  2020/02/16 18:00:00     3.569      0.279  
  1514  2020/02/16 18:15:00     3.530      0.255  
  1515  2020/02/16 18:30:00     3.553      0.253  
  1516  2020/02/16 18:45:00     3.631      0.265  
  1517  2020/02/16 19:00:00     3.758      0.283  
  1518  2020/02/16 19:15:00     4.004      0.378  
  1519  2020/02/16 19:30:00     4.222      0.402  
  1520  2020/02/16 19:45:00     4.430      0.377  
  1521  2020/02/16 20:00:00     4.681      0.357  
  1522  2020/02/16 20:15:00     4.976      0.348  
  1523  2020/02/16 20:30:00     5.311      0.349  
  1524  2020/02/16 20:45:00     5.675      0.357  
  1525  2020/02/16 21:00:00     6.055      0.364  
  1526  2020/02/16 21:15:00     6.388      0.316  
  1527  2020/02/16 21:30:00     6.711      0.258  
  1528  2020/02/16 21:45:00     7.058      0.234  
  1529  2020/02/16 22:00:00     7.357      0.182  
  1530  2020/02/16 22:15:00     7.715      0.215  
  1531  2020/02/16 22:30:00     7.960      0.169  
  1532  2020/02/16 22:45:00     8.219      0.177  
  1533  2020/02/16 23:00:00     8.398      0.147  
  1534  2020/02/16 23:15:00     8.538      0.123  
  1535  2020/02/16 23:30:00     8.665      0.132  
  1536  2020/02/16 23:45:00     8.717      0.113  
  1537  2020/02/17 00:00:00     8.719      0.091  
  1538  2020/02/17 00:15:00     8.714      0.106  
  1539  2020/02/17 00:30:00     8.662      0.118  
  1540  2020/02/17 00:45:00     8.625      0.185  
  1541  2020/02/17 01:00:00     8.522      0.221  
  1542  2020/02/17 01:15:00     8.365      0.234  
  1543  2020/02/17 01:30:00     8.208      0.274  
  1544  2020/02/17 01:45:00     7.942      0.227  
  1545  2020/02/17 02:00:00     7.752      0.275  
  1546  2020/02/17 02:15:00     7.509      0.285  
  1547  2020/02/17 02:30:00     7.202      0.243  
  1548  2020/02/17 02:45:00     6.955      0.270  
  1549  2020/02/17 03:00:00     6.669      0.264  
  1550  2020/02/17 03:15:00     6.380      0.257  
  1551  2020/02/17 03:30:00     6.122      0.279  
  1552  2020/02/17 03:45:00     5.813      0.247  
  1553  2020/02/17 04:00:00     5.547      0.250  
  1554  2020/02/17 04:15:00     5.299      0.262  
  1555  2020/02/17 04:30:00     5.041      0.250  
  1556  2020/02/17 04:45:00     4.799      0.239  
  1557  2020/02/17 05:00:00     4.591      0.244  
  1558  2020/02/17 05:15:00     4.412      0.257  
  1559  2020/02/17 05:30:00     4.231      0.244  
  1560  2020/02/17 05:45:00     4.086      0.241  
  1561  2020/02/17 06:00:00     3.968      0.237  
  1562  2020/02/17 06:15:00     3.896      0.249  
  1563  2020/02/17 06:30:00     3.865      0.269  
  1564  2020/02/17 06:45:00     3.843      0.264  
  1565  2020/02/17 07:00:00     3.852      0.254  
  1566  2020/02/17 07:15:00     3.945      0.291  
  1567  2020/02/17 07:30:00     3.999      0.250  
  1568  2020/02/17 07:45:00     4.134      0.252  
  1569  2020/02/17 08:00:00     4.313      0.260  
  1570  2020/02/17 08:15:00     4.525      0.266  
  1571  2020/02/17 08:30:00     4.759      0.260  
  1572  2020/02/17 08:45:00     4.989      0.221  
  1573  2020/02/17 09:00:00     5.303      0.241  
  1574  2020/02/17 09:15:00     5.606      0.228  
  1575  2020/02/17 09:30:00     5.906      0.199  
  1576  2020/02/17 09:45:00     6.252      0.208  
  1577  2020/02/17 10:00:00     6.615      0.234  
  1578  2020/02/17 10:15:00     6.931      0.222  
  1579  2020/02/17 10:30:00     7.227      0.206  
  1580  2020/02/17 10:45:00     7.477      0.168  
  1581  2020/02/17 11:00:00     7.737      0.169  
  1582  2020/02/17 11:15:00     7.967      0.173  
  1583  2020/02/17 11:30:00     8.134      0.152  
  1584  2020/02/17 11:45:00     8.321      0.190  
  1585  2020/02/17 12:00:00     8.421      0.182  
  1586  2020/02/17 12:15:00     8.442      0.136  
  1587  2020/02/17 12:30:00     8.470      0.138  
  1588  2020/02/17 12:45:00     8.487      0.170  
  1589  2020/02/17 13:00:00     8.472      0.208  
  1590  2020/02/17 13:15:00     8.378      0.201  
  1591  2020/02/17 13:30:00     8.246      0.188  
  1592  2020/02/17 13:45:00     8.111      0.199  
  1593  2020/02/17 14:00:00     7.963      0.219  
  1594  2020/02/17 14:15:00     7.764      0.208  
  1595  2020/02/17 14:30:00     7.611      0.259  
  1596  2020/02/17 14:45:00     7.345      0.210  
  1597  2020/02/17 15:00:00     7.104      0.197  
  1598  2020/02/17 15:15:00     6.891      0.220  
  1599  2020/02/17 15:30:00     6.666      0.236  
  1600  2020/02/17 15:45:00     6.369      0.183  
  1601  2020/02/17 16:00:00     6.148      0.204  
  1602  2020/02/17 16:15:00     5.902      0.198  
  1603  2020/02/17 16:30:00     5.668      0.198  
  1604  2020/02/17 16:45:00     5.471      0.227  
  1605  2020/02/17 17:00:00     5.184      0.156  
  1606  2020/02/17 17:15:00     5.015      0.190  
  1607  2020/02/17 17:30:00     4.838      0.202  
  1608  2020/02/17 17:45:00     4.629      0.166  
  1609  2020/02/17 18:00:00     4.472      0.162  
  1610  2020/02/17 18:15:00     4.345      0.167  
  1611  2020/02/17 18:30:00     4.228      0.159  
  1612  2020/02/17 18:45:00     4.175      0.189  
  1613  2020/02/17 19:00:00     4.099      0.171  
  1614  2020/02/17 19:15:00     4.067      0.168  
  1615  2020/02/17 19:30:00     4.056      0.155  
  1616  2020/02/17 19:45:00     4.084      0.150  
  1617  2020/02/17 20:00:00     4.144      0.144  
  1618  2020/02/17 20:15:00     4.233      0.135  
  1619  2020/02/17 20:30:00     4.367      0.138  
  1620  2020/02/17 20:45:00     4.484      0.092  
  1621  2020/02/17 21:00:00     4.683      0.100  
  1622  2020/02/17 21:15:00     4.885      0.083  
  1623  2020/02/17 21:30:00     5.110      0.066  
  1624  2020/02/17 21:45:00     5.374      0.067  
  1625  2020/02/17 22:00:00     5.639      0.054  
  1626  2020/02/17 22:15:00     5.912      0.038  
  1627  2020/02/17 22:30:00     6.206      0.039  
  1628  2020/02/17 22:45:00     6.487      0.030  
  1629  2020/02/17 23:00:00     6.726     -0.012  
  1630  2020/02/17 23:15:00     6.979     -0.025  
  1631  2020/02/17 23:30:00     7.232     -0.017  
  1632  2020/02/17 23:45:00     7.460     -0.010  
  1633  2020/02/18 00:00:00     7.683      0.020  
  1634  2020/02/18 00:15:00     7.820     -0.005  
  1635  2020/02/18 00:30:00     7.961      0.007  
  1636  2020/02/18 00:45:00     8.077      0.028  
  1637  2020/02/18 01:00:00     8.137      0.029  
  1638  2020/02/18 01:15:00     8.153      0.021  
  1639  2020/02/18 01:30:00     8.179      0.058  
  1640  2020/02/18 01:45:00     8.173      0.094  
  1641  2020/02/18 02:00:00     8.099      0.093  
  1642  2020/02/18 02:15:00     8.034      0.127  
  1643  2020/02/18 02:30:00     7.935      0.152  
  1644  2020/02/18 02:45:00     7.820      0.181  
  1645  2020/02/18 03:00:00     7.644      0.170  
  1646  2020/02/18 03:15:00     7.475      0.183  
  1647  2020/02/18 03:30:00     7.266      0.171  
  1648  2020/02/18 03:45:00     7.067      0.183  
  1649  2020/02/18 04:00:00     6.844      0.180  
  1650  2020/02/18 04:15:00     6.619      0.183  
  1651  2020/02/18 04:30:00     6.395      0.191  
  1652  2020/02/18 04:45:00     6.143      0.172  
  1653  2020/02/18 05:00:00     5.883      0.144  
  1654  2020/02/18 05:15:00     5.658      0.148  
  1655  2020/02/18 05:30:00     5.441      0.153  
  1656  2020/02/18 05:45:00     5.220      0.146  
  1657  2020/02/18 06:00:00     4.997      0.126  
  1658  2020/02/18 06:15:00     4.782      0.101  
  1659  2020/02/18 06:30:00     4.602      0.093  
  1660  2020/02/18 06:45:00     4.403      0.048  
  1661  2020/02/18 07:00:00     4.265      0.043  
  1662  2020/02/18 07:15:00     4.158      0.046  
  1663  2020/02/18 07:30:00     4.062      0.035  
  1664  2020/02/18 07:45:00     4.002      0.033  
  1665  2020/02/18 08:00:00     3.940      0.001  
  1666  2020/02/18 08:15:00     3.935     -0.005  
  1667  2020/02/18 08:30:00     3.955     -0.018  
  1668  2020/02/18 08:45:00     3.997     -0.041  
  1669  2020/02/18 09:00:00     4.091     -0.043  
  1670  2020/02/18 09:15:00     4.224     -0.038  
  1671  2020/02/18 09:30:00     4.373     -0.046  
  1672  2020/02/18 09:45:00     4.552     -0.051  
  1673  2020/02/18 10:00:00     4.752     -0.062  
  1674  2020/02/18 10:15:00     4.980     -0.068  
  1675  2020/02/18 10:30:00     5.234     -0.067  
  1676  2020/02/18 10:45:00     5.498     -0.070  
  1677  2020/02/18 11:00:00     5.775     -0.070  
  1678  2020/02/18 11:15:00     6.060     -0.063  
  1679  2020/02/18 11:30:00     6.340     -0.059  
  1680  2020/02/18 11:45:00     6.595     -0.069  
  1681  2020/02/18 12:00:00     6.865     -0.050  
  1682  2020/02/18 12:15:00     7.089     -0.058  
  1683  2020/02/18 12:30:00     7.319     -0.036  
  1684  2020/02/18 12:45:00     7.521     -0.016  
  1685  2020/02/18 13:00:00     7.709      0.019  
  1686  2020/02/18 13:15:00     7.824      0.014  
  1687  2020/02/18 13:30:00     7.931      0.033  
  1688  2020/02/18 13:45:00     8.003      0.052  
  1689  2020/02/18 14:00:00     8.038      0.067  
  1690  2020/02/18 14:15:00     8.073      0.113  
  1691  2020/02/18 14:30:00     8.044      0.124  
  1692  2020/02/18 14:45:00     8.011      0.158  
  1693  2020/02/18 15:00:00     7.902      0.139  
  1694  2020/02/18 15:15:00     7.821      0.171  
  1695  2020/02/18 15:30:00     7.721      0.204  
  1696  2020/02/18 15:45:00     7.570      0.205  
  1697  2020/02/18 16:00:00     7.394      0.198  
  1698  2020/02/18 16:15:00     7.205      0.192  
  1699  2020/02/18 16:30:00     7.020      0.202  
  1700  2020/02/18 16:45:00     6.818      0.203  
  1701  2020/02/18 17:00:00     6.607      0.202  
  1702  2020/02/18 17:15:00     6.382      0.191  
  1703  2020/02/18 17:30:00     6.158      0.184  
  1704  2020/02/18 17:45:00     5.924      0.166  
  1705  2020/02/18 18:00:00     5.707      0.163  
  1706  2020/02/18 18:15:00     5.488      0.153  
  1707  2020/02/18 18:30:00     5.284      0.151  
  1708  2020/02/18 18:45:00     5.094      0.153  
  1709  2020/02/18 19:00:00     4.891      0.129  
  1710  2020/02/18 19:15:00     4.721      0.124  
  1711  2020/02/18 19:30:00     4.570      0.121  
  1712  2020/02/18 19:45:00     4.439      0.119  
  1713  2020/02/18 20:00:00     4.367      0.154  
  1714  2020/02/18 20:15:00     4.288      0.159  
  1715  2020/02/18 20:30:00     4.210      0.139  
  1716  2020/02/18 20:45:00     4.184      0.143  
  1717  2020/02/18 21:00:00     4.176      0.135  
  1718  2020/02/18 21:15:00     4.213      0.142  
  1719  2020/02/18 21:30:00     4.276      0.145  
  1720  2020/02/18 21:45:00     4.355      0.133  
  1721  2020/02/18 22:00:00     4.482      0.139  
  1722  2020/02/18 22:15:00     4.658      0.164  
  1723  2020/02/18 22:30:00     4.821      0.147  
  1724  2020/02/18 22:45:00     5.036      0.154  
  1725  2020/02/18 23:00:00     5.327      0.213  
  1726  2020/02/18 23:15:00     5.530      0.162  
  1727  2020/02/18 23:30:00     5.835      0.198  
  1728  2020/02/18 23:45:00     6.148      0.232  
  1729  2020/02/19 00:00:00     6.371      0.171  
  1730  2020/02/19 00:15:00     6.673      0.191  
  1731  2020/02/19 00:30:00     6.960      0.204  
  1732  2020/02/19 00:45:00     7.207      0.188  
  1733  2020/02/19 01:00:00     7.496      0.230  
  1734  2020/02/19 01:15:00     7.722      0.231  
  1735  2020/02/19 01:30:00     7.890      0.201  
  1736  2020/02/19 01:45:00     8.049      0.191  
  1737  2020/02/19 02:00:00     8.172      0.178  
  1738  2020/02/19 02:15:00     8.277      0.182  
  1739  2020/02/19 02:30:00     8.346      0.185  
  1740  2020/02/19 02:45:00     8.308      0.115  
  1741  2020/02/19 03:00:00     8.315      0.124  
  1742  2020/02/19 03:15:00     8.297      0.138  
  1743  2020/02/19 03:30:00     8.212      0.116  
  1744  2020/02/19 03:45:00     8.139      0.135  
  1745  2020/02/19 04:00:00     8.010      0.125  
  1746  2020/02/19 04:15:00     7.846      0.107  
  1747  2020/02/19 04:30:00     7.653      0.083  
  1748  2020/02/19 04:45:00     7.451      0.071  
  1749  2020/02/19 05:00:00     7.253      0.080  
  1750  2020/02/19 05:15:00     6.997      0.046  
  1751  2020/02/19 05:30:00     6.743      0.025  
  1752  2020/02/19 05:45:00     6.489      0.013  
  1753  2020/02/19 06:00:00     6.223     -0.005  
  1754  2020/02/19 06:15:00     5.962     -0.014  
  1755  2020/02/19 06:30:00     5.691     -0.033  
  1756  2020/02/19 06:45:00     5.446     -0.029  
  1757  2020/02/19 07:00:00     5.185     -0.046  
  1758  2020/02/19 07:15:00     4.933     -0.064  
  1759  2020/02/19 07:30:00     4.727     -0.048  
  1760  2020/02/19 07:45:00     4.483     -0.085  
  1761  2020/02/19 08:00:00     4.315     -0.063  
  1762  2020/02/19 08:15:00     4.144     -0.063  
  1763  2020/02/19 08:30:00     4.007     -0.051  
  1764  2020/02/19 08:45:00     3.879     -0.056  
  1765  2020/02/19 09:00:00     3.790     -0.050  
  1766  2020/02/19 09:15:00     3.746     -0.028  
  1767  2020/02/19 09:30:00     3.711     -0.030  
  1768  2020/02/19 09:45:00     3.716     -0.023  
  1769  2020/02/19 10:00:00     3.757     -0.014  
  1770  2020/02/19 10:15:00     3.824     -0.013  
  1771  2020/02/19 10:30:00     3.928     -0.009  
  1772  2020/02/19 10:45:00     4.075      0.003  
  1773  2020/02/19 11:00:00     4.246      0.005  
  1774  2020/02/19 11:15:00     4.468      0.023  
  1775  2020/02/19 11:30:00     4.722      0.043  
  1776  2020/02/19 11:45:00     4.992      0.052  
  1777  2020/02/19 12:00:00     5.284      0.061  
  1778  2020/02/19 12:15:00     5.590      0.069  
  1779  2020/02/19 12:30:00     5.883      0.055  
  1780  2020/02/19 12:45:00     6.210      0.072  
  1781  2020/02/19 13:00:00     6.526      0.081  
  1782  2020/02/19 13:15:00     6.835      0.091  
  1783  2020/02/19 13:30:00     7.136      0.107  
  1784  2020/02/19 13:45:00     7.409      0.116  
  1785  2020/02/19 14:00:00     7.645      0.114  
  1786  2020/02/19 14:15:00     7.863      0.125  
  1787  2020/02/19 14:30:00     8.025      0.114  
  1788  2020/02/19 14:45:00     8.192      0.145  
  1789  2020/02/19 15:00:00     8.282      0.136  
  1790  2020/02/19 15:15:00     8.354      0.145  
  1791  2020/02/19 15:30:00     8.405      0.167  
  1792  2020/02/19 15:45:00     8.381      0.149  
  1793  2020/02/19 16:00:00     8.354      0.160  
  1794  2020/02/19 16:15:00     8.274      0.150  
  1795  2020/02/19 16:30:00     8.177      0.154  
  1796  2020/02/19 16:45:00     8.044      0.151  
  1797  2020/02/19 17:00:00     7.882      0.145  
  1798  2020/02/19 17:15:00     7.692      0.134  
  1799  2020/02/19 17:30:00     7.492      0.133  
  1800  2020/02/19 17:45:00     7.274      0.131  
  1801  2020/02/19 18:00:00     7.009      0.096  
  1802  2020/02/19 18:15:00     6.768      0.098  
  1803  2020/02/19 18:30:00     6.535      0.117  
  1804  2020/02/19 18:45:00     6.238      0.078  
  1805  2020/02/19 19:00:00     5.970      0.072  
  1806  2020/02/19 19:15:00     5.692      0.055  
  1807  2020/02/19 19:30:00     5.437      0.057  
  1808  2020/02/19 19:45:00     5.168      0.039  
  1809  2020/02/19 20:00:00     4.910      0.022  
  1810  2020/02/19 20:15:00     4.676      0.016  
  1811  2020/02/19 20:30:00     4.488      0.041  
  1812  2020/02/19 20:45:00     4.283      0.030  
  1813  2020/02/19 21:00:00     4.095      0.015  
  1814  2020/02/19 21:15:00     3.972      0.040  
  1815  2020/02/19 21:30:00     3.839      0.026  
  1816  2020/02/19 21:45:00     3.763      0.039  
  1817  2020/02/19 22:00:00     3.722      0.055  
  1818  2020/02/19 22:15:00     3.701      0.057  
  1819  2020/02/19 22:30:00     3.717      0.061  
  1820  2020/02/19 22:45:00     3.776      0.071  
  1821  2020/02/19 23:00:00     3.869      0.075  
  1822  2020/02/19 23:15:00     4.029      0.106  
  1823  2020/02/19 23:30:00     4.200      0.107  
  1824  2020/02/19 23:45:00     4.424      0.121  
  1825  2020/02/20 00:00:00     4.683      0.132  
  1826  2020/02/20 00:15:00     4.962      0.129  
  1827  2020/02/20 00:30:00     5.287      0.145  
  1828  2020/02/20 00:45:00     5.633      0.160  
  1829  2020/02/20 01:00:00     5.968      0.148  
  1830  2020/02/20 01:15:00     6.334      0.159  
  1831  2020/02/20 01:30:00     6.711      0.179  
  1832  2020/02/20 01:45:00     7.054      0.170  
  1833  2020/02/20 02:00:00     7.422      0.199  
  1834  2020/02/20 02:15:00     7.727      0.187  
  1835  2020/02/20 02:30:00     8.016      0.187  
  1836  2020/02/20 02:45:00     8.268      0.184  
  1837  2020/02/20 03:00:00     8.494      0.195  
  1838  2020/02/20 03:15:00     8.679      0.208  
  1839  2020/02/20 03:30:00     8.828      0.227  
  1840  2020/02/20 03:45:00     8.903      0.215  
  1841  2020/02/20 04:00:00     8.937      0.206  
  1842  2020/02/20 04:15:00     8.941      0.208  
  1843  2020/02/20 04:30:00     8.900      0.208  
  1844  2020/02/20 04:45:00     8.820      0.210  
  1845  2020/02/20 05:00:00     8.690      0.200  
  1846  2020/02/20 05:15:00     8.525      0.192  
  1847  2020/02/20 05:30:00     8.329      0.186  
  1848  2020/02/20 05:45:00     8.100      0.175  
  1849  2020/02/20 06:00:00     7.857      0.176  
  1850  2020/02/20 06:15:00     7.556      0.140  
  1851  2020/02/20 06:30:00     7.278      0.144  
  1852  2020/02/20 06:45:00     6.952      0.115  
  1853  2020/02/20 07:00:00     6.642      0.112  
  1854  2020/02/20 07:15:00     6.351      0.135  
  1855  2020/02/20 07:30:00     5.995      0.095  
  1856  2020/02/20 07:45:00     5.670      0.085  
  1857  2020/02/20 08:00:00     5.360      0.084  
  1858  2020/02/20 08:15:00     5.039      0.063  
  1859  2020/02/20 08:30:00     4.761      0.073  
  1860  2020/02/20 08:45:00     4.490      0.074  
  1861  2020/02/20 09:00:00     4.262      0.101  
  1862  2020/02/20 09:15:00     4.021      0.092  
  1863  2020/02/20 09:30:00     3.806      0.085  
  1864  2020/02/20 09:45:00     3.647      0.104  
  1865  2020/02/20 10:00:00     3.515      0.119  
  1866  2020/02/20 10:15:00     3.415      0.132  
  1867  2020/02/20 10:30:00     3.344      0.137  
  1868  2020/02/20 10:45:00     3.348      0.180  
  1869  2020/02/20 11:00:00     3.357      0.187  
  1870  2020/02/20 11:15:00     3.426      0.212  
  1871  2020/02/20 11:30:00     3.545      0.242  
  1872  2020/02/20 11:45:00     3.689      0.249  
  1873  2020/02/20 12:00:00     3.908      0.284  
  1874  2020/02/20 12:15:00     4.145      0.291  
  1875  2020/02/20 12:30:00     4.435      0.308  
  1876  2020/02/20 12:45:00     4.751      0.313  
  1877  2020/02/20 13:00:00     5.110      0.329  
  1878  2020/02/20 13:15:00     5.505      0.357  
  1879  2020/02/20 13:30:00     5.896      0.361  
  1880  2020/02/20 13:45:00     6.260      0.328  
  1881  2020/02/20 14:00:00     6.678      0.345  
  1882  2020/02/20 14:15:00     7.007      0.279  
  1883  2020/02/20 14:30:00     7.405      0.296  
  1884  2020/02/20 14:45:00     7.751      0.286  
  1885  2020/02/20 15:00:00     8.071      0.281  
  1886  2020/02/20 15:15:00     8.349      0.274  
  1887  2020/02/20 15:30:00     8.558      0.240  
  1888  2020/02/20 15:45:00     8.745      0.229  
  1889  2020/02/20 16:00:00     8.892      0.224  
  1890  2020/02/20 16:15:00     9.020      0.247  
  1891  2020/02/20 16:30:00     9.084      0.253  
  1892  2020/02/20 16:45:00     9.068      0.224  
  1893  2020/02/20 17:00:00     8.959      0.148  
  1894  2020/02/20 17:15:00     8.855      0.121  
  1895  2020/02/20 17:30:00     8.702      0.088  
  1896  2020/02/20 17:45:00     8.527      0.071  
  1897  2020/02/20 18:00:00     8.310      0.047  
  1898  2020/02/20 18:15:00     8.069      0.030  
  1899  2020/02/20 18:30:00     7.821      0.033  
  1900  2020/02/20 18:45:00     7.536      0.023  
  1901  2020/02/20 19:00:00     7.248      0.029  
  1902  2020/02/20 19:15:00     6.939      0.029  
  1903  2020/02/20 19:30:00     6.585     -0.003  
  1904  2020/02/20 19:45:00     6.238     -0.021  
  1905  2020/02/20 20:00:00     5.905     -0.023  
  1906  2020/02/20 20:15:00     5.553     -0.044  
  1907  2020/02/20 20:30:00     5.193     -0.080  
  1908  2020/02/20 20:45:00     4.871     -0.085  
  1909  2020/02/20 21:00:00     4.586     -0.066  
  1910  2020/02/20 21:15:00     4.294     -0.069  
  1911  2020/02/20 21:30:00     4.016     -0.078  
  1912  2020/02/20 21:45:00     3.800     -0.047  
  1913  2020/02/20 22:00:00     3.565     -0.062  
  1914  2020/02/20 22:15:00     3.378     -0.060  
  1915  2020/02/20 22:30:00     3.235     -0.047  
  1916  2020/02/20 22:45:00     3.134     -0.029  
  1917  2020/02/20 23:00:00     3.057     -0.026  
  1918  2020/02/20 23:15:00     3.031     -0.014  
  1919  2020/02/20 23:30:00     3.045     -0.006  
  1920  2020/02/20 23:45:00     3.118      0.012  
  1921  2020/02/21 00:00:00     3.236      0.023  
